C	318.182	136.364	318.182	0	
C	363.636	136.364	363.636	0	
B	272.727	0	318.182	0	
A	363.636	0	45.4545	0	
C	318.182	136.364	227.273	0	
A	318.182	0	90.9091	0	
A	363.636	0	0	0	
A	318.182	0	0	0	
A	318.182	0	0	0	
A	363.636	0	0	0	
A	318.182	0	0	0	
B	45.4545	0	0	0	
C	181.818	136.364	272.727	2	
C	318.182	136.364	363.636	0	
B	227.273	0	318.182	0	
C	318.182	136.364	363.636	0	
A	318.182	0	90.9091	0	
A	363.636	0	0	0	
A	318.182	0	0	0	
C	318.182	136.364	227.273	0	
B	318.182	0	318.182	0	
B	227.273	0	318.182	0	
B	363.636	0	318.182	0	
C	318.182	136.364	318.182	0	
C	318.182	136.364	363.636	0	
B	318.182	0	318.182	0	
A	363.636	0	45.4545	0	
A	318.182	0	0	0	
C	318.182	136.364	227.273	0	
C	363.636	136.364	318.182	0	
B	227.273	0	363.636	0	
B	318.182	0	318.182	0	
A	363.636	0	45.4545	0	
C	318.182	136.364	227.273	0	
C	318.182	136.364	363.636	0	
B	318.182	0	318.182	0	
B	227.273	0	318.182	0	
B	318.182	0	363.636	0	
C	318.182	90.9091	318.182	0	
B	318.182	0	318.182	0	
B	227.273	0	318.182	0	
B	227.273	0	363.636	0	
B	227.273	0	318.182	0	
A	318.182	0	90.9091	0	
C	318.182	136.364	227.273	0	
B	318.182	0	318.182	0	
A	363.636	0	90.9091	0	
B	45.4545	0	0	0	
A	227.273	0	0	0	
B	90.9091	0	0	0	
C	181.818	136.364	272.727	1	
A	318.182	0	45.4545	0	
C	363.636	136.364	272.727	0	
C	318.182	136.364	318.182	0	
A	318.182	0	90.9091	0	
A	363.636	0	0	0	
B	45.4545	0	0	0	
B	45.4545	0	227.273	0	
A	318.182	0	90.9091	0	
C	318.182	136.364	227.273	0	
B	181.818	0	318.182	0	
A	363.636	0	45.4545	0	
B	45.4545	0	0	0	
C	181.818	136.364	272.727	1	
B	318.182	0	318.182	0	
C	363.636	90.9091	318.182	0	
C	318.182	136.364	363.636	0	
A	318.182	0	45.4545	0	
A	363.636	0	0	0	
B	45.4545	0	0	0	
B	0	0	181.818	0	
A	318.182	0	45.4545	0	
A	363.636	0	0	0	
B	45.4545	0	0	0	
A	272.727	0	0	0	
C	318.182	136.364	227.273	0	
C	318.182	136.364	318.182	0	
C	363.636	136.364	318.182	0	
C	318.182	136.364	363.636	0	
B	318.182	0	272.727	0	
A	318.182	0	45.4545	0	
A	363.636	0	0	0	
A	318.182	0	0	0	
C	318.182	136.364	227.273	0	
C	318.182	136.364	318.182	0	
C	363.636	136.364	363.636	0	
C	318.182	136.364	318.182	0	
C	318.182	136.364	363.636	0	
A	363.636	0	90.9091	0	
C	318.182	136.364	227.273	0	
C	318.182	136.364	363.636	0	
B	318.182	0	318.182	0	
B	318.182	0	318.182	0	
C	318.182	136.364	363.636	0	
B	318.182	0	318.182	0	
B	318.182	0	318.182	0	
C	363.636	136.364	363.636	0	
A	318.182	0	45.4545	0	
B	90.9091	0	0	0	
A	227.273	0	0	0	
B	45.4545	0	0	0	
B	45.4545	0	181.818	0	
B	318.182	0	363.636	0	
C	318.182	136.364	318.182	0	
C	318.182	136.364	318.182	0	
B	318.182	0	318.182	0	
B	181.818	0	318.182	0	
C	318.182	90.9091	363.636	0	
C	318.182	136.364	318.182	0	
B	363.636	0	318.182	0	
B	136.364	0	363.636	0	
C	318.182	136.364	318.182	0	
B	318.182	0	363.636	0	
A	318.182	0	45.4545	0	
C	363.636	136.364	227.273	0	
B	272.727	0	363.636	0	
C	318.182	90.9091	318.182	0	
C	318.182	90.9091	318.182	0	
B	363.636	0	318.182	0	
B	227.273	0	363.636	0	
C	318.182	136.364	318.182	0	
B	363.636	0	318.182	0	
B	227.273	0	363.636	0	
B	227.273	0	318.182	0	
A	318.182	0	45.4545	0	
A	318.182	0	0	0	
A	363.636	0	0	0	
C	318.182	136.364	227.273	0	
A	318.182	0	90.9091	0	
A	363.636	0	0	0	
C	272.727	136.364	227.273	0	
A	363.636	0	45.4545	0	
B	45.4545	0	0	0	
C	181.818	181.818	272.727	2	
B	227.273	0	363.636	0	
B	318.182	0	318.182	0	
A	318.182	0	90.9091	0	
C	363.636	136.364	227.273	0	
B	227.273	0	363.636	0	
C	363.636	90.9091	318.182	0	
B	227.273	0	363.636	0	
B	318.182	0	318.182	0	
B	272.727	0	318.182	0	
A	318.182	0	90.9091	0	
C	318.182	136.364	227.273	0	
A	363.636	0	90.9091	0	
C	318.182	136.364	227.273	0	
C	318.182	90.9091	363.636	0	
C	363.636	136.364	318.182	0	
C	318.182	136.364	363.636	0	
A	318.182	0	45.4545	0	
B	90.9091	0	0	0	
C	181.818	136.364	272.727	2	
C	318.182	136.364	318.182	0	
A	363.636	0	90.9091	0	
A	318.182	0	0	0	
C	318.182	136.364	272.727	0	
B	318.182	0	318.182	0	
A	363.636	0	45.4545	0	
C	318.182	136.364	227.273	0	
B	318.182	0	318.182	0	
A	318.182	0	90.9091	0	
B	90.9091	0	0	0	
B	45.4545	0	227.273	0	
A	318.182	0	90.9091	0	
C	318.182	136.364	227.273	0	
C	363.636	136.364	318.182	0	
A	318.182	0	90.9091	0	
C	318.182	136.364	272.727	0	
B	318.182	0	318.182	0	
C	363.636	90.9091	363.636	0	
A	318.182	0	90.9091	0	
A	318.182	0	0	0	
C	363.636	136.364	227.273	0	
C	318.182	136.364	318.182	0	
B	227.273	0	363.636	0	
B	227.273	0	318.182	0	
A	363.636	0	45.4545	0	
C	318.182	136.364	227.273	0	
A	318.182	0	136.364	0	
B	90.9091	0	0	0	
C	181.818	136.364	272.727	2	
C	318.182	90.9091	318.182	0	
A	363.636	0	45.4545	0	
B	45.4545	0	0	0	
A	272.727	0	0	0	
A	318.182	0	0	0	
B	90.9091	0	0	0	
A	227.273	0	0	0	
A	363.636	0	0	0	
A	318.182	0	0	0	
A	318.182	0	0	0	
C	363.636	136.364	227.273	0	
A	318.182	0	90.9091	0	
A	318.182	0	0	0	
B	90.9091	0	0	0	
C	181.818	136.364	272.727	2	
B	136.364	0	363.636	0	
B	227.273	0	318.182	0	
C	318.182	90.9091	363.636	0	
A	318.182	0	90.9091	0	
C	363.636	136.364	227.273	0	
A	318.182	0	90.9091	0	
C	318.182	136.364	227.273	0	
A	363.636	0	45.4545	0	
B	45.4545	0	0	0	
A	181.818	0	0	0	
C	318.182	136.364	227.273	0	
B	318.182	0	318.182	0	
A	318.182	0	45.4545	0	
C	318.182	136.364	272.727	0	
A	363.636	0	90.9091	0	
B	45.4545	0	0	0	
C	181.818	136.364	272.727	1	
C	318.182	136.364	363.636	0	
A	0	0	136.364	0	
B	90.9091	0	318.182	0	
C	363.636	0	90.9091	0	
A	0	0	136.364	0	
A	90.9091	0	318.182	0	
A	363.636	0	90.9091	0	
A	45.4545	0	0	0	
B	181.818	136.364	272.727	1	
C	318.182	136.364	318.182	0	
A	227.273	0	318.182	0	
A	318.182	136.364	363.636	0	
B	363.636	0	90.9091	0	
A	45.4545	0	0	0	
B	181.818	181.818	272.727	2	
C	318.182	136.364	318.182	0	
A	363.636	0	363.636	0	
A	318.182	136.364	318.182	0	
C	318.182	0	90.9091	0	
A	363.636	0	0	0	
B	45.4545	0	0	0	
C	0	0	181.818	0	
A	363.636	0	45.4545	0	
B	318.182	0	0	0	
A	318.182	0	0	0	
A	363.636	136.364	227.273	0	
B	318.182	0	45.4545	0	
C	45.4545	0	0	0	
A	227.273	0	0	0	
B	318.182	0	0	0	
B	45.4545	0	0	0	
A	181.818	136.364	272.727	1	
B	363.636	136.364	363.636	0	
C	318.182	0	90.9091	0	
A	318.182	0	0	0	
B	363.636	0	0	0	
C	318.182	136.364	227.273	0	
A	318.182	136.364	363.636	0	
B	363.636	0	90.9091	0	
C	318.182	0	0	0	
A	318.182	0	0	0	
C	363.636	0	0	0	
A	45.4545	0	0	0	
A	181.818	181.818	272.727	1	
B	318.182	0	90.9091	0	
C	363.636	136.364	227.273	0	
A	318.182	136.364	363.636	0	
C	318.182	136.364	318.182	0	
B	363.636	0	318.182	0	
A	318.182	136.364	363.636	0	
B	318.182	0	45.4545	0	
C	363.636	0	0	0	
A	318.182	0	0	0	
C	318.182	136.364	227.273	0	
C	363.636	0	45.4545	0	
A	45.4545	0	0	0	
B	181.818	181.818	272.727	1	
C	363.636	0	45.4545	0	
B	318.182	0	0	0	
A	45.4545	0	0	0	
A	227.273	0	0	0	
A	318.182	136.364	227.273	0	
B	363.636	0	45.4545	0	
C	318.182	0	0	0	
B	90.9091	0	0	0	
A	0	0	136.364	0	
B	136.364	0	318.182	0	
A	227.273	0	318.182	0	
B	318.182	136.364	363.636	0	
C	181.818	0	318.182	0	
B	363.636	136.364	318.182	0	
A	318.182	136.364	363.636	0	
C	318.182	136.364	318.182	0	
A	318.182	0	318.182	0	
B	363.636	0	45.4545	0	
C	45.4545	0	0	0	
B	181.818	136.364	272.727	1	
B	318.182	0	318.182	0	
A	318.182	0	363.636	0	
A	363.636	0	90.9091	0	
B	318.182	136.364	227.273	0	
C	318.182	0	136.364	0	
B	90.9091	0	0	0	
B	45.4545	0	227.273	0	
B	136.364	0	318.182	0	
A	318.182	136.364	318.182	0	
B	363.636	136.364	363.636	0	
C	318.182	136.364	318.182	0	
B	318.182	0	318.182	0	
B	363.636	136.364	363.636	0	
C	318.182	0	90.9091	0	
A	90.9091	0	0	0	
B	227.273	0	0	0	
C	318.182	136.364	227.273	0	
B	318.182	0	90.9091	0	
C	363.636	0	0	0	
A	318.182	0	0	0	
A	45.4545	0	0	0	
B	227.273	0	0	0	
C	45.4545	0	0	0	
B	227.273	0	0	0	
C	45.4545	0	0	0	
B	45.4545	0	227.273	0	
A	318.182	136.364	318.182	0	
B	363.636	90.9091	363.636	0	
C	318.182	0	0	0	
B	45.4545	0	0	0	
C	181.818	136.364	272.727	2	
C	318.182	136.364	363.636	0	
A	363.636	0	318.182	0	
B	318.182	90.9091	363.636	0	
C	318.182	0	45.4545	0	
C	45.4545	0	0	0	
A	181.818	136.364	272.727	1	
A	363.636	0	90.9091	0	
A	318.182	136.364	227.273	0	
B	318.182	136.364	363.636	0	
C	318.182	0	318.182	0	
C	318.182	0	90.9091	0	
A	318.182	136.364	227.273	0	
B	363.636	0	318.182	0	
A	318.182	90.9091	363.636	0	
B	318.182	0	45.4545	0	
C	363.636	136.364	227.273	0	
C	318.182	136.364	318.182	0	
A	227.273	0	363.636	0	
C	318.182	0	90.9091	0	
A	45.4545	0	0	0	
B	181.818	136.364	272.727	1	
C	318.182	0	45.4545	0	
C	363.636	0	0	0	
B	318.182	0	0	0	
A	45.4545	0	0	0	
A	181.818	181.818	272.727	2	
B	318.182	136.364	363.636	0	
C	363.636	136.364	318.182	0	
C	318.182	0	90.9091	0	
B	45.4545	0	0	0	
B	45.4545	0	181.818	0	
A	318.182	136.364	363.636	0	
B	227.273	0	318.182	0	
C	318.182	0	90.9091	0	
C	363.636	136.364	227.273	0	
B	318.182	0	136.364	0	
C	45.4545	0	0	0	
A	136.364	136.364	272.727	2	
B	318.182	0	363.636	0	
C	227.273	0	318.182	0	
C	272.727	0	318.182	0	
C	363.636	0	45.4545	0	
A	318.182	0	0	0	
A	45.4545	0	0	0	
B	45.4545	0	181.818	0	
C	181.818	0	318.182	0	
C	318.182	0	363.636	0	
C	318.182	90.9091	318.182	0	
B	318.182	136.364	318.182	0	
A	363.636	136.364	363.636	0	
B	318.182	0	90.9091	0	
C	318.182	136.364	227.273	0	
C	363.636	0	363.636	0	
C	318.182	0	318.182	0	
C	318.182	90.9091	318.182	0	
A	318.182	136.364	363.636	0	
B	363.636	90.9091	318.182	0	
C	318.182	0	318.182	0	
